Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","Panasonic_EVQPUM_EVQPUD",65.000000,-42.000000,0.000000,top
"TP1","TestPoint","TestPoint_Pad_1.0x1.0mm",72.000000,-77.000000,180.000000,top
"TP2","TestPoint","TestPoint_Pad_1.0x1.0mm",72.000000,-79.000000,180.000000,top
"TP3","TestPoint","TestPoint_Pad_1.0x1.0mm",70.000000,-77.000000,180.000000,top
"TP4","TestPoint","TestPoint_Pad_1.0x1.0mm",70.000000,-79.000000,90.000000,top
"TP5","TestPoint","TestPoint_Pad_1.0x1.0mm",68.000000,-77.000000,90.000000,top
"TP6","TestPoint","TestPoint_Pad_1.0x1.0mm",68.000000,-79.000000,90.000000,top
"TP7","TestPoint","TestPoint_Pad_1.0x1.0mm",66.000000,-77.000000,90.000000,top
"TP8","TestPoint","TestPoint_Pad_1.0x1.0mm",66.000000,-79.000000,90.000000,top
"TP9","TestPoint","TestPoint_Pad_1.0x1.0mm",64.000000,-77.000000,90.000000,top
"TP10","TestPoint","TestPoint_Pad_1.0x1.0mm",64.000000,-79.000000,90.000000,top
"TP11","TestPoint","TestPoint_Pad_1.0x1.0mm",62.000000,-77.000000,90.000000,top
"TP12","TestPoint","TestPoint_Pad_1.0x1.0mm",62.000000,-79.000000,90.000000,top
"TP13","TestPoint","TestPoint_Pad_2.0x2.0mm",85.000000,-90.000000,0.000000,top
"TP14","TestPoint","TestPoint_Pad_2.0x2.0mm",85.000000,-98.000000,0.000000,top
"TP15","TestPoint","TestPoint_Pad_2.0x2.0mm",84.975000,-94.000000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",65.000000,-98.000000,90.000000,top
"U2","TLV75712PDBV","SOT-23-5",80.000000,-90.000000,0.000000,top
"U3","TLV75725PDBV","SOT-23-5",80.000000,-98.000000,0.000000,top
"U4","TLV75733PDBV","SOT-23-5",80.000000,-94.000000,0.000000,top
"U5","74AUC2G240","VSSOP-8_3x3mm_P0.65mm",55.000000,-74.000000,180.000000,top
"U6","ICE40UP5K-SG48ITR","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",65.069848,-66.655635,-135.000000,top
"U7","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",58.000000,-58.000000,45.000000,top
"U8","FT232H","LQFP-48_7x7mm_P0.5mm",65.000000,-86.000000,90.000000,top
"U9","93LC56BT-I/OT","SOIC-8_3.9x4.9mm_P1.27mm",53.000000,-87.000000,-90.000000,top
"Y1","SG-210STF","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",54.990000,-78.000000,90.000000,top
